description,Id,imageId
Gather the ingredients.,1,2
"Preheat the oven to 350°F. In a large enameled cast-iron casserole, melt the butter in 1 tablespoon of the olive oil. Arrange the meat in the casserole in a single layer and season with salt and pepper. Cook over moderately high heat, turning occasionally, until browned on all sides, 8 minutes.",2,3
"Add the chopped onion and garlic and cook over moderate heat, stirring occasionally, until the onion is softened, 5 minutes.",3,4
Add the flour and stir to coat the meat with it.,4,5
"Add the wine, bay leaves, and thyme; season with salt and pepper. Bring to a boil, stirring to dissolve any brown bits stuck to the bottom of the pot. Cover the casserole and transfer it to the oven. Cook the stew for 1 1/2 hours, until the meat is very tender and the sauce is flavorful.",5,6
"Meanwhile, in a saucepan, cover the pancetta with 2 cups of water and bring to a boil. Reduce the heat and simmer for 30 minutes.",6,7
"Drain the pancetta and slice it 1/2-inch thick, then cut the slices into 1-inch-wide lardons.",7,8
"In a large skillet, combine the pancetta, pearl onions, mushrooms, and carrots. Add the remaining 1 tablespoon of olive oil, 1/4 cup of water, and a large pinch each of sugar, salt, and pepper.

",8,9
"Bring to a boil, cover, and simmer until almost all of the water has evaporated, 15 minutes. Uncover and cook over high heat, tossing, until the vegetables are tender and nicely browned, about 4 minutes.",9,10
"To serve, stir some of the vegetables and lardons into the stew and scatter the rest on top as a garnish. Top with a little chopped parsley.",10,1
Bring water to a boil,11,11
